Country,d2010,d2011,d2012,d2013,d2014,d2015,d2016,d2017,d2018,d2019
 Albania,"11,938","12,896","12,323","12,784","13,238","11,393","11,865","13,055","15,202","15,960"
 Algeria,"161,207","199,394","209,005","209,703","213,518","164,779","159,049","167,555","180,441","183,687"
 Angola,"82,471","104,116","115,342","124,912","126,777","102,962","95,337","122,124","107,316","92,191"
 Antigua and Barbuda,"1,146","1,140","1,214","1,194","1,273","1,353","1,460","1,516","1,626","1,717"
 Argentina,"424,728","527,644","579,666","611,471","563,614","631,621","554,107","642,928","518,092","477,743"
 Armenia,"9,260","10,142","10,619","11,121","11,610","10,529","10,572","11,537","12,411","13,105"
 Aruba,,,,,,,,"2,700","2,833","2,875"
 Australia,"1,249,703","1,504,236","1,561,052","1,509,639","1,449,336","1,229,938","1,264,944","1,386,357","1,418,275","1,417,003"
 Austria,"390,940","429,431","407,677","428,382","439,073","377,157","390,961","417,672","457,637","459,589"
 Azerbaijan,"52,913","64,819","68,700","73,557","75,194","50,818","37,810","41,256","45,418","45,248"
 Bahamas,"10,096","10,070","10,720","10,677","10,844","11,240","11,262","12,162","12,803","13,262"
 Bahrain,"25,708","28,770","30,743","32,532","33,381","31,119","32,176","35,433","38,291","38,952"
 Bangladesh,"122,039","131,079","141,705","161,297","183,966","208,695","235,623","262,077","287,630","314,656"
 Barbados,"4,447","4,359","4,332","4,371","4,353","4,422","4,764","4,990","5,145","5,207"
 Belarus,"57,220","61,368","65,669","75,496","78,736","56,329","47,703","54,723","59,643","60,951"
 Belgium,"484,450","527,491","498,160","520,254","532,607","455,219","468,148","495,757","533,153","531,813"
 Belize,"1,398","1,487","1,574","1,614","1,707","1,743","1,820","1,863","1,925","1,997"
 Benin,"6,983","7,821","8,157","9,160","9,723","8,295","8,576","9,265","10,456","11,184"
 Bhutan,"1,433","1,737","1,814","1,849","1,830","2,027","2,127","2,405","2,627","2,840"
 Bolivia,"19,786","24,135","27,282","30,883","33,237","33,238","34,053","38,058","41,410","43,687"
 Bosnia and Herzegovina,"17,164","18,629","17,207","18,155","18,522","16,251","16,917","18,169","19,881","20,152"
 Botswana,"13,755","15,334","14,701","14,814","16,259","14,435","15,660","17,383","18,998","19,651"
 Brazil,"2,208,704","2,614,027","2,464,053","2,471,718","2,456,054","1,801,482","1,793,066","2,053,208","1,868,184","1,960,190"
 Brunei,"13,707","18,525","19,047","18,092","17,098","12,931","11,399","12,128","14,082","13,325"
 Bulgaria,"50,611","57,420","53,901","55,760","56,732","50,199","53,236","58,335","64,963","67,044"
 Burkina Faso,"9,123","10,734","11,172","11,938","12,329","11,105","11,310","12,349","14,180","14,882"
 Burundi,"2,032","2,236","2,333","2,575","2,934","3,002","3,138","3,396","3,436","3,573"
 Cambodia,"11,232","12,818","14,057","15,244","16,778","17,789","20,157","22,225","24,523","26,979"
 Cameroon,"23,667","26,612","26,487","29,576","32,101","28,431","32,230","34,993","38,521","39,219"
 Canada,"1,613,463","1,788,647","1,824,289","1,842,627","1,792,883","1,552,808","1,535,768","1,650,187","1,711,387","1,739,110"
 Cape Verde,"1,664","1,865","1,752","1,851","1,861","1,575","1,640","1,776","1,970","2,042"
 Central African Republic,"1,986","2,196","2,171","1,519","1,706","1,593","1,756","1,937","2,185","2,285"
 Chad,"10,702","12,181","12,411","12,994","14,003","10,952","10,091","9,892","10,919","11,372"
 Chile,"218,272","252,072","267,026","278,340","260,954","242,537","250,008","277,668","298,172","295,614"
 China,"6,066,351","7,522,103","8,570,348","9,635,025","10,534,526","11,226,186","11,221,836","12,062,281","13,407,398","14,216,503"
 Colombia,"286,954","335,437","369,430","380,170","378,323","291,530","279,987","311,796","333,114","336,599"
 Comoros,544,611,596,658,684,589,615,649,742,726
 Costa Rica,"37,634","42,717","46,984","50,326","51,260","55,475","57,810","58,654","59,006","60,459"
 Croatia,"59,665","62,237","56,486","57,770","57,080","48,676","51,350","55,201","60,688","61,252"
 Cyprus,"25,608","27,454","25,026","24,064","23,345","19,570","20,055","22,186","24,492","24,638"
 Czech Republic,"207,016","227,948","207,376","209,402","207,818","186,830","195,305","215,914","242,052","246,161"
 Democratic Republic of the Congo,"20,641","24,575","27,566","32,676","35,918","38,496","39,324","41,447","42,644","48,458"
 Denmark,"321,995","344,003","327,149","343,584","352,297","301,308","306,900","329,866","350,874","349,524"
 Djibouti,"1,099","1,239","1,354","1,455","1,588","1,727","1,889","2,029","2,187","2,392"
 Dominica,494,501,486,508,528,517,581,553,494,542
 Dominican Republic,"53,893","58,023","60,703","62,061","65,322","68,197","71,673","76,091","80,940","84,837"
 Ecuador,"69,555","79,277","87,925","95,130","102,292","100,177","98,614","104,296","107,511","106,289"
 Egypt,"230,024","247,726","278,769","288,007","305,567","332,075","332,484","236,528","249,559","299,589"
 El Salvador,"21,418","23,139","23,814","24,351","25,054","25,850","26,798","24,928","26,057","26,989"
 Equatorial Guinea,"16,299","21,329","22,390","21,943","21,504","13,819","10,178","12,287","13,734","12,432"
 Eritrea,"2,117","2,608","3,092","3,502","4,052","4,666","5,005","5,813","6,721","7,718"
 Estonia,"19,538","23,191","23,057","25,089","26,255","22,472","23,348","26,665","30,312","31,026"
 Eswatini,"4,498","4,878","4,755","4,420","4,301","3,929","3,848","5,813","6,721","7,718"
 Ethiopia,"29,917","31,958","43,134","47,656","55,512","64,683","73,151","75,745","80,279","90,968"
 Federated States of Micronesia,297,311,326,316,318,315,323,363,374,383
 Fiji,"3,251","3,775","3,972","4,190","4,470","4,391","4,666","4,891","5,118","5,324"
 Finland,"248,262","273,925","256,849","270,065","273,042","232,556","238,776","252,809","275,321","276,572"
 France,"2,651,772","2,865,304","2,682,901","2,809,390","2,843,673","2,434,787","2,466,472","2,587,682","2,775,252","2,761,633"
 Gabon,"14,359","18,203","17,181","17,596","18,209","14,370","14,020","14,922","17,033","16,709"
 Gambia,"1,630","1,398","1,423","1,367","1,259","1,370","1,445","1,483","1,617","1,741"
