time,name,country,event,gender,year
01:54.3,Caster Semenya,South Africa,800m,female,2018
01:55.9,Francine Niyonsaba,Burkina Faso,800m,female,2018
01:56.2,Natoya Goule,Jamaica,800m,female,2018
01:56.5,Ajee’ Wilson,United States,800m,female,2018
01:56.7,Habitam Alemu,Ethiopia,800m,female,2018
01:57.5,Rabab Arrafi,Morocco,800m,female,2018
01:57.7,Raevyn Rogers,United States,800m,female,2018
01:58.0,Ce’Aira Brown,United States,800m,female,2018
01:58.0,Emily Jerotich,Kenya,800m,female,2018
01:58.0,Charlene Lipsey,United States,800m,female,2018
01:58.1,Margaret Wambui,Kenya,800m,female,2018
01:58.4,Halimah Nakaayi,Uganda,800m,female,2018
01:58.8,Renelle Lamote,France,800m,female,2018
01:59.0,Nelly Jepkosgei,Kenya,800m,female,2018
01:59.1,Laura Muir,Great Britain,800m,female,2018
01:59.3,Eunice Sum,Kenya,800m,female,2018
01:59.3,Malika Akkaoui,Morocco,800m,female,2018
01:59.3,Lynsey Sharp,Great Britain,800m,female,2018
01:59.4,Sifan Hassan,Netherlands,800m,female,2018
01:59.4,Winnie Nanyondo,Uganda,800m,female,2018
01:59.6,Nataliya Pryshchepa,Ukraine,800m,female,2018
01:59.7,Kaela Edwards,United States,800m,female,2018
01:59.7,Diribe Welteji,Ethiopia,800m,female,2018
01:59.8,Shelayna Oskan-Clarke,Great Britain,800m,female,2018
01:59.8,Mahelet Mulugeta,Ethiopia,800m,female,2018
01:59.9,Sanne Wolters-Verstegen,Netherlands,800m,female,2018
01:59.9,Adelle Tracey,Great Britain,800m,female,2018
01:59.9,Aleksandra Gulyayeva,Russia,800m,female,2018
01:59.9,Alexandra Bell,Great Britain,800m,female,2018
02:00.0,Chaltu Shume,Ethiopia,800m,female,2018
02:00.0,Dorcus Ajok,Uganda,800m,female,2018
02:00.1,Noélie Yarigo,Benin,800m,female,2018
02:00.1,Olivia Baker,United States,800m,female,2018
02:00.1,Hanna Green,United States,800m,female,2018
02:00.1,Marta Pen,Portugal,800m,female,2018
02:00.1,Georgia Griffith (Aus),Australia,800m,female,2018
02:00.2,Rose M. Almanza,Cuba,800m,female,2018
02:00.2,Tola Kore,Ethiopia,800m,female,2018
02:00.2,Brittany McGowan,Australia,800m,female,2018
02:00.3,Olha Lyakhova,Ukraine,800m,female,2018
02:00.3,Eglay Nalyanya,Kenya,800m,female,2018
02:00.3,Anna Sabat,Poland,800m,female,2018
02:00.4,Charline Mathias,Luxembourg,800m,female,2018
02:00.4,Selina Büchel,Switzerland,800m,female,2018
02:00.4,Laura Roesler,United States,800m,female,2018
02:00.5,Claudia Saunders,France,800m,female,2018
02:00.5,Christina Hering,Germany,800m,female,2018
02:00.5,Hanna Hermansson,Sweden,800m,female,2018
02:00.6,Simoya Campbell,Jamaica,800m,female,2018
02:00.6,Cinthia Anais,France,800m,female,2018
03:56.7,Genzebe Dibaba,Ethiopia,1500m,female,2018
03:57.3,Shelby Houlihan,United States,1500m,female,2018
03:57.4,Sifan Hassan,Netherlands,1500m,female,2018
03:57.6,Gudaf Tsegay,Ethiopia,1500m,female,2018
03:58.2,Laura Muir,Great Britain,1500m,female,2018
03:58.9,Hellen Obiri,Kenya,1500m,female,2018
03:59.2,Rabab Arrafi,Morocco,1500m,female,2018
03:59.4,Jenny Simpson,United States,1500m,female,2018
03:59.9,Caster Semenya,South Africa,1500m,female,2018
04:00.6,Winny Chebet,Kenya,1500m,female,2018
04:00.9,Linden Hall,Australia,1500m,female,2018
04:01.0,Nelly Jepkosgei,Kenya,1500m,female,2018
04:01.4,Habitam Alemu,Ethiopia,1500m,female,2018
04:01.8,Besu Sado,Ethiopia,1500m,female,2018
04:01.8,Laura Weightman,Great Britain,1500m,female,2018
04:01.8,Alemaz Teshale,Ethiopia,1500m,female,2018
04:02.0,Eilish McColgan,Great Britain,1500m,female,2018
04:02.1,Sofia Ennaoui,Poland,1500m,female,2018
04:02.2,Beatrice Chepkoech,Kenya,1500m,female,2018
04:02.3,Meraf Bahta,Sweden,1500m,female,2018
04:02.4,Axumawit Embaye,Ethiopia,1500m,female,2018
04:02.6,Brenda Martinez,United States,1500m,female,2018
04:02.8,Dawit Seyaum,Ethiopia,1500m,female,2018
04:03.0,Colleen Quigley,United States,1500m,female,2018
04:03.2,Sarah McDonald,Great Britain,1500m,female,2018
04:03.4,Melissa Courtney,Great Britain,1500m,female,2018
04:03.9,Judy Kiyeng,Kenya,1500m,female,2018
04:04.0,Marta Pen,Portugal,1500m,female,2018
04:04.0,Konstanze Klosterhalfen,Germany,1500m,female,2018
04:04.1,Kate Grace,United States,1500m,female,2018
04:04.1,Ciara Mageean,Ireland,1500m,female,2018
04:04.2,Georgia Griffith,Australia,1500m,female,2018
04:04.8,Aleksandra Gulyayeva,Russia,1500m,female,2018
04:04.8,Simona Vrzalová,Czech Republic,1500m,female,2018
04:04.9,Marta Pérez,Spain,1500m,female,2018
04:04.9,Aisha Praught Leer,Jamaica,1500m,female,2018
04:05.0,Charlene Lipsey,United States,1500m,female,2018
04:05.1,Maureen Koster,Netherlands,1500m,female,2018
04:05.2,Ajee’ Wilson,United States,1500m,female,2018
04:05.4,Eunice Sum,Kenya,1500m,female,2018
04:05.6,Steph Twell,Great Britain,1500m,female,2018
04:05.6,Karoline Bjerkeli Grøvdal,Norway,1500m,female,2018
04:05.7,*Emily Lipari,United States,1500m,female,2018
04:05.7,Elise Vanderelst,Belarus,1500m,female,2018
04:05.8,Gabriela Stafford,Canada,1500m,female,2018
04:05.9,Mary Kuria,Kenya,1500m,female,2018
04:05.9,Sara Vaughn,United States,1500m,female,2018
04:05.9,Diana Sujew,Germany,1500m,female,2018
04:06.0,Taye Fantu,Ethiopia,1500m,female,2018
04:06.0,Helen Schlachtenhaufen,United States,1500m,female,2018
08:44.3,Beatrice Chepkoech,Kenya,3000m Steeplechase,female,2018
08:59.6,Norah Tanui,Kenya,3000m Steeplechase,female,2018
09:00.9,Courtney Frerichs,United States,3000m Steeplechase,female,2018
09:01.6,Hyvin Jepkemoi,Kenya,3000m Steeplechase,female,2018
09:01.8,Celliphine Chespol,Kenya,3000m Steeplechase,female,2018
09:05.1,Emma Coburn,United States,3000m Steeplechase,female,2018
09:07.9,Peruth Chemutai,Uganda,3000m Steeplechase,female,2018
09:08.2,Roseline Chepngetich,Kenya,3000m Steeplechase,female,2018
09:10.3,Colleen Quigley,United States,3000m Steeplechase,female,2018
09:10.7,Daisy Jepkemei,Kenya,3000m Steeplechase,female,2018
09:10.7,Winfred Yavi,Bahrain,3000m Steeplechase,female,2018
09:14.1,Aisha Praught Leer,Jamaica,3000m Steeplechase,female,2018
09:16.7,Yekaterina Ivonina,Russia,3000m Steeplechase,female,2018
09:18.4,Karoline Bjerkeli Grøvdal,Norway,3000m Steeplechase,female,2018
09:19.8,Gesa-Felicitas Krause,Germany,3000m Steeplechase,female,2018
