Country,d2014,d2015,d2016,d2017,d2018
Aruba,25528.40378,25796.38025,25251.63968,25655.10202,25655.10202
Afghanistan,625.3395388,590.0764738,549.5827599,550.0684588,550.0684588
Angola,5412.692348,4170.730358,3509.604211,4100.289786,4100.289786
Albania,4578.667934,3952.830781,4131.872341,4537.579056,4537.579056
Andorra,42294.99473,36038.2676,37231.81567,39146.54884,39146.54884
Arab World,7456.598173,6429.17084,6183.079222,6235.420578,6235.420578
United Arab Emirates,44443.06151,39122.04971,38517.80039,40698.84934,40698.84934
Argentina,12245.25645,13698.29344,12654.355,14398.35877,14398.35877
Armenia,3994.712355,3617.935746,3605.743117,3936.79832,3936.79832
American Samoa,11598.75174,11901.97526,11744.81555,11394.4753,11394.4753
Antigua and Barbuda,12900.903,13602.42124,14506.60354,14803.01093,14803.01093
Australia,62403.09553,56644.03396,49937.73139,53793.53726,53793.53726
Austria,51717.49594,44176.67174,45103.32981,47380.82964,47380.82964
Azerbaijan,7891.313147,5500.310382,3880.738731,4135.138601,4135.138601
Burundi,273.538285,304.3742207,281.1813376,292.0052103,292.0052103
Belgium,47355.31201,40431.95262,41454.52493,43467.4459,43467.4459
Benin,943.686575,783.9630778,788.5324424,827.3936794,827.3936794
Burkina Faso,703.8216565,575.3144542,583.8308982,642.0371483,642.0371483
Bangladesh,1084.56543,1210.158849,1358.779186,1516.51327,1516.51327
Bulgaria,7864.760672,6993.783483,7469.455638,8228.01157,8228.01157
Bahrain,24983.37902,22688.87824,22628.95679,23739.15717,23739.15717
Bahamas,28671.34697,30483.8201,30260.30591,30762.01244,30762.01244
Bosnia and Herzegovina,5204.243718,4584.242548,4808.636043,5148.208517,5148.208517
Belarus,8318.51269,5949.106307,5025.405064,5733.30721,5733.30721
Belize,4813.718033,4905.536645,4923.358922,4971.201636,4971.201636
Bermuda,,,,,
Bolivia,3124.00031,3077.026199,3117.330459,3393.955818,3393.955818
Brazil,12026.61939,8750.222996,8650.376373,9812.278531,9812.278531
Barbados,16261.79932,16129.04928,15891.62655,16356.98011,16356.98011
Brunei Darussalam,41530.66898,30967.89051,26939.41802,28290.5852,28290.5852
Bhutan,2522.794953,2616.010343,2782.367967,3130.233543,3130.233543
Botswana,7493.752924,6521.146128,6954.144126,7595.611141,7595.611141
Central African Republic,377.1321263,348.3814271,382.0702811,418.411287,418.411287
Canada,50633.20882,43327.17364,42105.90006,44870.77616,44870.77616
Central Europe and the Baltics,14151.43364,12461.01009,12774.25888,14176.86571,14176.86571
Switzerland,86605.56338,82081.59712,80037.50304,80342.84634,80342.84634
Channel Islands,,,,,
Chile,14794.31583,13736.63569,13960.89421,15346.4497,15346.4497
China,7683.502613,8069.213024,8117.267465,8826.994096,8826.994096
Cote d'Ivoire,1568.627628,1715.105518,1493.506061,1537.504031,1537.504031
Cameroon,1571.182535,1353.92449,1391.751883,1451.865747,1451.865747
Democratic Republic of Congo,487.0814869,497.6297557,471.6359456,462.7795441,462.7795441
"Congo, Rep.",2910.520226,1712.121146,1762.809913,1654.010322,1654.010322
Colombia,7974.406373,6085.209979,5813.694519,6408.920012,6408.920012
Comoros,1511.826037,1271.057042,1287.406402,1312.333925,1312.333925
Cabo Verde,3532.993527,2996.362046,3082.157104,3244.409561,3244.409561
Costa Rica,10630.9979,11393.02842,11767.50425,11677.26904,11677.26904
Caribbean small states,10121.31048,9835.190116,9339.012783,9448.224139,9448.224139
Cuba,7050.493249,7602.278668,7961.84588,8433.092699,8433.092699
Curacao,,,,,
Cayman Islands,,,,,
Cyprus,27407.15286,23217.48415,24019.13787,25658.79966,25658.79966
Czech Republic,19744.55861,17715.61685,18463.38658,20379.89604,20379.89604
Germany,48142.8272,41394.65816,42443.46507,44665.50637,44665.50637
Djibouti,1595.146365,1761.610158,1872.234623,1927.589706,1927.589706
Dominica,7193.668111,7392.234584,7824.921777,6719.337166,6719.337166
Denmark,62548.98502,53254.85059,54467.10143,57218.85196,57218.85196
Dominican Republic,6348.837769,6534.908555,6793.538125,7052.258839,7052.258839
Algeria,5466.425778,4162.852181,3943.49755,4055.247211,4055.247211
