year,country,event,gender,name,time
2014,Albania,1500m,female,Luiza Gega (Albania),04:03.1
2014,Algeria,1500m,male,Taoufik Makhloufi (Algeria),03:30.4
2014,Algeria,3000m Steeplechase,female,Amina Betiche (Algeria),09:29.2
2014,Algeria,800m,male,Taoufik Makhloufi (Algeria),01:43.5
2014,Australia,1500m,female,Zoe Buckman (Australia),04:04.1
2014,Australia,3000m Steeplechase,female,Genevieve LaCaze (Australia),09:33.2
2014,Australia,3000m Steeplechase,female,Madeleine Heiner (Australia),09:34.0
2014,Australia,5000m,female,Eloise Wellings (Australia),15:15.0
2014,Australia,800m,male,Alex Rowe (Australia),01:44.4
2014,Azerbaijan,5000m,male,Hayle Ibrahimov (Azerbaijan),13:09.2
2014,Bahrain,10000m,male,El Hassan El Abbassi (Bahrain),27:33.0
2014,Bahrain,1500m,female,Mimi Belete (Bahrain),04:00.1
2014,Bahrain,1500m,female,Maryam Jamal (Bahrain),04:04.1
2014,Bahrain,1500m,male,Benson Seurei (Bahrain),03:34.2
2014,Bahrain,3000m Steeplechase,female,Ruth Chebet (Bahrain),09:20.5
2014,Bahrain,5000m,female,Maryam Jamal (Bahrain),14:59.7
2014,Bahrain,5000m,female,Mimi Belete (Bahrain),15:00.9
2014,Bahrain,5000m,female,Tejitu Daba (Bahrain),15:15.7
2014,Bahrain,5000m,male,Albert Rop (Bahrain),13:06.1
2014,Bahrain,marathon,female,Eunice Jepkirui (Bahrain),2:25:37
2014,Bahrain,marathon,male,Shumi Dechasa (Bahrain),2:06:43
2014,Belarus,3000m Steeplechase,female,Sviatlana Kudzelich (Belarus),09:28.0
2014,Belarus,800m,female,Maryna Arzamasova (Belarus),01:58.1
2014,Belarus,marathon,female,Aliaksandra Duliba (Belarus),2:24:43
2014,Belgium,10000m,female,Almensch Belete (Belgium),31:43.1
2014,Belgium,10000m,male,Bashir Abdi (Belgium),27:36.4
2014,Belgium,1500m,male,Pieter-Jan Hannes (Belgium),03:34.5
2014,Benin,800m,female,Noélie Yarigo (Benin),02:00.5
2014,Botswana,800m,male,Nijel Amos (Botswana),01:42.0
2014,Brazil,800m,male,Kléberson Davide (Brazil),01:45.3
2014,Bulgaria,3000m Steeplechase,male,Mitko Tsenov (Bulgaria),08:20.9
2014,Canada,10000m,male,Cam Levins (Canada),27:36.0
2014,Canada,1500m,female,Nicole Sifuentes (Canada),04:04.9
2014,Canada,1500m,female,Kate Van Buskirk (Canada),04:05.4
2014,Canada,3000m Steeplechase,female,Jessica Furlan (Canada),09:33.5
2014,Canada,3000m Steeplechase,male,Matt Hughes (Canada),08:12.8
2014,Canada,5000m,female,Jessica O’Connell (Canada),15:13.2
2014,Canada,800m,female,Melissa Bishop (Canada),01:59.7
2014,Canada,800m,male,Brandon McBride (Canada),01:45.3
2014,China,10000m,female,Changqin Ding (China),31:53.1
2014,China,3000m Steeplechase,female,Zhenzhu Li (China),09:35.2
2014,China,5000m,female,Changqin Ding (China),15:12.5
2014,China,800m,female,Jing Zhao (China),
2014,Colombia,800m,male,Rafith Rodíguez (Colombia),01:44.8
2014,Cuba,800m,female,Sahily Diago (Cuba),01:57.7
2014,Cuba,800m,female,Rose Almanza (Cuba),01:59.5
2014,Cuba,800m,male,Yeimer López (Cuba),01:43.7
2014,Czech Republic,1500m,male,Jakub Holuša (Czech Republic),03:35.3
2014,Czech Republic,800m,female,Lenka Masná (Czech Republic),01:59.9
2014,Denmark,800m,male,Andreas Bube (Denmark),01:45.2
2014,Djibouti,1500m,male,Ayanleh Souleiman (Djibouti),03:29.6
2014,Djibouti,800m,male,Ayanleh Souleiman (Djibouti),01:43.7
2014,Eritrea,10000m,male,Teklemariam Medhin (Eritrea),27:38.8
2014,Eritrea,10000m,male,Goitom Kifle (Eritrea),27:43.3
2014,Ethiopia,10000m,male,Zewdie Milion (Ethiopia),27:36.4
2014,Ethiopia,10000m,male,Kassa Mekashaw (Ethiopia),27:38.9
2014,Ethiopia,10000m,male,Melaku Abera (Ethiopia),27:42.4
2014,Ethiopia,10000m,male,Birhan Nebebew (Ethiopia),27:42.9
2014,Ethiopia,10000m,male,Agato Yashin (Ethiopia),27:51.7
2014,Ethiopia,10000m,male,Tasama Dame (Ethiopia),27:55.2
2014,Ethiopia,1500m,female,Genzebe Dibaba (Ethiopia),03:55.2
2014,Ethiopia,1500m,female,Dawit Seyaum (Ethiopia),03:59.5
2014,Ethiopia,1500m,female,Axumawit Embaye (Ethiopia),04:02.4
2014,Ethiopia,1500m,female,Gudaf Tsegay (Ethiopia),04:02.8
2014,Ethiopia,1500m,male,Aman Wote (Ethiopia),03:29.9
2014,Ethiopia,1500m,male,Mekonnen Gebremedhin (Ethiopia),03:32.8
2014,Ethiopia,1500m,male,Abiyot Abinet (Ethiopia),03:35.0
2014,Ethiopia,1500m,male,Tesfaye Cheru (Ethiopia),03:35.1
2014,Ethiopia,3000m Steeplechase,female,Hiwot Ayalew (Ethiopia),09:10.6
2014,Ethiopia,3000m Steeplechase,female,Sofia Assefa (Ethiopia),09:11.4
2014,Ethiopia,3000m Steeplechase,female,Etenesh Diro (Ethiopia),09:19.7
2014,Ethiopia,3000m Steeplechase,female,Birtukan Adamu (Ethiopia),09:27.3
2014,Ethiopia,3000m Steeplechase,female,Tigist Mekonen (Ethiopia),09:28.4
2014,Ethiopia,3000m Steeplechase,female,Birtukan Fente (Ethiopia),09:30.8
2014,Ethiopia,3000m Steeplechase,male,Chala Beyo (Ethiopia),08:25.4
2014,Ethiopia,5000m,female,Genzebe Dibaba (Ethiopia),14:28.9
2014,Ethiopia,5000m,female,Almaz Ayana (Ethiopia),14:29.2
2014,Ethiopia,5000m,female,Alemitu Haroye (Ethiopia),14:52.7
2014,Ethiopia,5000m,female,Hiwot Ayalew (Ethiopia),15:09.6
2014,Ethiopia,5000m,female,Alemitu Hawi (Ethiopia),15:10.5
2014,Ethiopia,5000m,female,Etagegne Woldu (Ethiopia),15:11.4
2014,Ethiopia,5000m,female,Buze Diriba (Ethiopia),15:16.8
2014,Ethiopia,5000m,male,Muktar Edris (Ethiopia),12:54.8
2014,Ethiopia,5000m,male,Yenew Alamirew (Ethiopia),13:00.2
2014,Ethiopia,5000m,male,Hagos Gebrhiwet (Ethiopia),13:06.9
2014,Ethiopia,5000m,male,Berhanu Legesse (Ethiopia),13:08.9
2014,Ethiopia,5000m,male,Ibrahim Jeilan (Ethiopia),13:09.7
2014,Ethiopia,5000m,male,Dejen Gebremeskel (Ethiopia),13:09.7
2014,Ethiopia,5000m,male,Yigrem Demelash (Ethiopia),13:11.8
2014,Ethiopia,5000m,male,Imane Merga (Ethiopia),13:11.9
2014,Ethiopia,5000m,male,Kinde Atanaw (Ethiopia),13:12.4
2014,Ethiopia,5000m,male,Getaneh Tamire (Ethiopia),13:13.0
2014,Ethiopia,5000m,male,Leul Gebrselassie (Ethiopia),13:14.6
2014,Ethiopia,800m,female,Tigist Assefa (Ethiopia),01:59.2
